waktu,jam
2025-05-04 15:01:25.847348,15
2025-05-04 15:01:27.622189,15
2025-05-04 15:01:40.739188,15
2025-05-04 15:01:49.425286,15
2025-05-04 15:01:51.186022,15
2025-05-04 15:01:56.570349,15
2025-05-04 15:01:59.286574,15
2025-05-04 15:02:01.795049,15
2025-05-04 15:02:04.144037,15
2025-05-04 15:02:11.753184,15
2025-05-04 15:02:17.814975,15
2025-05-04 15:02:26.677434,15
2025-05-04 15:02:30.206860,15
2025-05-04 15:02:32.431714,15
2025-05-04 15:02:34.689390,15
2025-05-04 15:02:36.418973,15
2025-05-04 15:02:49.844734,15
2025-05-04 15:02:51.522438,15
2025-05-04 15:03:32.225605,15
2025-05-04 15:03:34.821427,15
2025-05-04 15:03:46.554943,15
2025-05-04 15:04:00.329225,15
2025-05-04 15:04:02.614735,15
2025-05-04 15:04:04.881146,15
2025-05-04 15:04:07.148767,15
2025-05-04 15:04:11.388967,15
2025-05-04 15:04:13.907764,15
2025-05-04 15:04:16.969147,15
2025-05-04 15:04:19.339615,15
2025-05-04 15:04:21.561672,15
2025-05-04 15:04:25.174992,15
2025-05-04 15:04:27.551170,15
2025-05-04 15:04:29.812612,15
2025-05-04 15:04:32.269446,15
2025-05-04 15:04:34.498614,15
2025-05-04 15:04:36.276522,15
2025-05-04 15:04:38.228401,15
2025-05-04 15:04:40.424175,15
2025-05-04 15:04:42.628467,15
2025-05-04 15:04:44.405603,15
2025-05-04 15:04:46.694892,15
2025-05-04 15:04:49.051833,15
2025-05-04 15:04:51.586644,15
2025-05-04 15:04:53.360379,15
2025-05-04 15:04:55.603292,15
2025-05-04 15:04:57.438456,15
2025-05-04 15:04:59.651158,15
2025-05-04 15:05:01.438598,15
2025-05-04 15:05:03.900386,15
2025-05-04 15:05:05.746405,15
2025-05-04 15:05:07.958056,15
2025-05-04 15:05:10.211024,15
2025-05-04 15:05:12.513464,15
2025-05-04 15:05:14.672586,15
2025-05-04 15:05:16.726260,15
2025-05-04 15:05:18.875410,15
2025-05-04 15:05:21.148939,15
2025-05-04 15:05:23.291487,15
2025-05-04 15:05:32.718060,15
2025-05-04 15:05:40.296193,15
2025-05-04 15:05:42.503038,15
2025-05-04 15:05:44.912745,15
2025-05-04 15:05:46.897277,15
2025-05-04 15:05:49.365586,15
2025-05-04 15:05:51.165033,15
2025-05-04 15:05:53.432293,15
2025-05-04 15:06:06.470457,15
2025-05-04 15:06:15.678638,15
2025-05-04 15:07:00.507404,15
